type,image,repeatability,algorithm
i,2,0.778076171875,disk
i,3,0.572509765625,disk
i,4,0.37109375,disk
i,5,0.373779296875,disk
i,6,0.4033203125,disk
i,2,0.448486328125,disk
i,3,0.283203125,disk
i,4,0.242919921875,disk
i,5,0.24951171875,disk
i,6,0.384033203125,disk
i,2,0.8304108216432866,disk
i,3,0.7760123013839056,disk
i,4,0.7627635255270511,disk
i,5,0.7595989239422842,disk
i,6,0.7584859584859585,disk
i,2,0.708251953125,disk
i,3,0.650146484375,disk
i,4,0.689453125,disk
i,5,0.72021484375,disk
i,6,0.705810546875,disk
i,2,0.724365234375,disk
i,3,0.5703125,disk
i,4,0.60107421875,disk
i,5,0.348876953125,disk
i,6,0.327880859375,disk
i,2,0.584228515625,disk
i,3,0.481201171875,disk
i,4,0.49658203125,disk
i,5,0.424560546875,disk
i,6,0.2265625,disk
i,2,0.610107421875,disk
i,3,0.322265625,disk
i,4,0.29736328125,disk
i,5,0.12353515625,disk
i,6,0.15966796875,disk
i,2,0.661376953125,disk
i,3,0.7119140625,disk
i,4,0.681396484375,disk
i,5,0.595947265625,disk
i,6,0.589111328125,disk
i,2,0.770751953125,disk
i,3,0.765869140625,disk
i,4,0.755859375,disk
i,5,0.7138671875,disk
i,6,0.659423828125,disk
i,2,0.310791015625,disk
i,3,0.391845703125,disk
i,4,0.532470703125,disk
i,5,0.56494140625,disk
i,6,0.35107421875,disk
i,2,0.71875,disk
i,3,0.312255859375,disk
i,4,0.324951171875,disk
i,5,0.323974609375,disk
i,6,0.451904296875,disk
i,2,0.90185546875,disk
i,3,0.83935546875,disk
i,4,0.79345703125,disk
i,5,0.7607421875,disk
i,6,0.71337890625,disk
i,2,0.83154296875,disk
i,3,0.737548828125,disk
i,4,0.532470703125,disk
i,5,0.5068359375,disk
i,6,0.57958984375,disk
i,2,0.743896484375,disk
i,3,0.610595703125,disk
i,4,0.59033203125,disk
i,5,0.4609375,disk
i,6,0.43994140625,disk
i,2,0.75634765625,disk
i,3,0.736572265625,disk
i,4,0.736572265625,disk
i,5,0.74072265625,disk
i,6,0.75732421875,disk
i,2,0.82568359375,disk
i,3,0.82958984375,disk
i,4,0.760986328125,disk
i,5,0.81103515625,disk
i,6,0.8056640625,disk
i,2,0.6796875,disk
i,3,0.7080078125,disk
i,4,0.662109375,disk
i,5,0.647705078125,disk
i,6,0.60205078125,disk
i,2,0.63720703125,disk
i,3,0.7861328125,disk
i,4,0.803466796875,disk
i,5,0.8193359375,disk
i,6,0.75537109375,disk
i,2,0.461181640625,disk
i,3,0.37451171875,disk
i,4,0.34130859375,disk
i,5,0.32861328125,disk
i,6,0.3037109375,disk
i,2,0.467529296875,disk
i,3,0.542236328125,disk
i,4,0.47509765625,disk
i,5,0.443359375,disk
i,6,0.545166015625,disk
i,2,0.83642578125,disk
i,3,0.697509765625,disk
i,4,0.6162109375,disk
i,5,0.6787109375,disk
i,6,0.603515625,disk
i,2,0.74267578125,disk
i,3,0.670166015625,disk
i,4,0.6083984375,disk
i,5,0.562744140625,disk
i,6,0.511962890625,disk
i,2,0.806640625,disk
i,3,0.76708984375,disk
i,4,0.719482421875,disk
i,5,0.586669921875,disk
i,6,0.3974609375,disk
i,2,0.626708984375,disk
i,3,0.625244140625,disk
i,4,0.479248046875,disk
i,5,0.501953125,disk
i,6,0.59375,disk
i,2,0.754150390625,disk
i,3,0.632080078125,disk
i,4,0.76025390625,disk
i,5,0.756591796875,disk
i,6,0.740966796875,disk
i,2,0.157958984375,disk
i,3,0.30322265625,disk
i,4,0.242431640625,disk
i,5,0.118408203125,disk
i,6,0.40478515625,disk
i,2,0.798095703125,disk
i,3,0.716064453125,disk
i,4,0.550537109375,disk
i,5,0.703125,disk
i,6,0.687255859375,disk
i,2,0.839111328125,disk
i,3,0.706298828125,disk
i,4,0.527587890625,disk
i,5,0.365966796875,disk
i,6,0.71826171875,disk
i,2,0.668701171875,disk
i,3,0.6884765625,disk
i,4,0.7314453125,disk
i,5,0.685546875,disk
i,6,0.623046875,disk
i,2,0.465576171875,disk
i,3,0.546875,disk
i,4,0.311279296875,disk
i,5,0.51220703125,disk
i,6,0.4951171875,disk
i,2,0.661865234375,disk
i,3,0.617431640625,disk
i,4,0.568115234375,disk
i,5,0.539794921875,disk
i,6,0.505615234375,disk
i,2,0.61279296875,disk
i,3,0.5693359375,disk
i,4,0.451416015625,disk
i,5,0.464599609375,disk
i,6,0.697509765625,disk
i,2,0.699462890625,disk
i,3,0.684814453125,disk
i,4,0.566650390625,disk
i,5,0.479736328125,disk
i,6,0.545166015625,disk
i,2,0.87744140625,disk
i,3,0.81884765625,disk
i,4,0.768798828125,disk
i,5,0.751220703125,disk
i,6,0.68701171875,disk
i,2,0.748291015625,disk
i,3,0.63134765625,disk
i,4,0.637939453125,disk
i,5,0.6533203125,disk
i,6,0.660888671875,disk
i,2,0.330810546875,disk
i,3,0.291748046875,disk
i,4,0.295166015625,disk
i,5,0.30029296875,disk
i,6,0.302490234375,disk
i,2,0.576171875,disk
i,3,0.5810546875,disk
i,4,0.482421875,disk
i,5,0.43242450894165935,disk
i,6,0.455810546875,disk
i,2,0.5693359375,disk
i,3,0.798095703125,disk
i,4,0.779052734375,disk
i,5,0.55908203125,disk
i,6,0.65380859375,disk
i,2,0.805908203125,disk
i,3,0.71533203125,disk
i,4,0.610595703125,disk
i,5,0.73486328125,disk
i,6,0.660888671875,disk
i,2,0.533935546875,disk
i,3,0.448974609375,disk
i,4,0.329345703125,disk
i,5,0.60888671875,disk
i,6,0.49658203125,disk
i,2,0.751708984375,disk
i,3,0.75244140625,disk
i,4,0.67138671875,disk
i,5,0.7119140625,disk
i,6,0.60546875,disk
i,2,0.819091796875,disk
i,3,0.77099609375,disk
i,4,0.7314453125,disk
i,5,0.7138671875,disk
i,6,0.681396484375,disk
i,2,0.695068359375,disk
i,3,0.689208984375,disk
i,4,0.65673828125,disk
i,5,0.6416015625,disk
i,6,0.560546875,disk
i,2,0.7255859375,disk
i,3,0.73095703125,disk
i,4,0.678955078125,disk
i,5,0.414306640625,disk
i,6,0.571533203125,disk
i,2,0.61279296875,disk
i,3,0.5693359375,disk
i,4,0.451416015625,disk
i,5,0.464599609375,disk
i,6,0.697509765625,disk
i,2,0.2978515625,disk
i,3,0.201416015625,disk
i,4,0.260986328125,disk
i,5,0.350341796875,disk
i,6,0.239501953125,disk
i,2,0.7822265625,disk
i,3,0.716064453125,disk
i,4,0.658935546875,disk
i,5,0.595703125,disk
i,6,0.512451171875,disk
i,2,0.6178721303381881,disk
i,3,0.3692722371967655,disk
i,4,0.7759439859964992,disk
i,5,0.6719328560849173,disk
i,6,0.5911485774499473,disk
i,2,0.814453125,disk
i,3,0.6826171875,disk
i,4,0.754150390625,disk
i,5,0.619140625,disk
i,6,0.57568359375,disk
i,2,0.65380859375,disk
i,3,0.652099609375,disk
i,4,0.657470703125,disk
i,5,0.773193359375,disk
i,6,0.565185546875,disk
i,2,0.808349609375,disk
i,3,0.704345703125,disk
i,4,0.59130859375,disk
i,5,0.64794921875,disk
i,6,0.5791015625,disk
i,2,0.6533203125,disk
i,3,0.532470703125,disk
i,4,0.46875,disk
i,5,0.41552734375,disk
i,6,0.33056640625,disk
v,2,0.665283203125,disk
v,3,0.66943359375,disk
v,4,0.42578125,disk
v,5,0.51025390625,disk
v,6,0.39990234375,disk
v,2,0.6396484375,disk
v,3,0.67431640625,disk
v,4,0.597900390625,disk
v,5,0.602294921875,disk
v,6,0.605224609375,disk
v,2,0.799560546875,disk
v,3,0.732666015625,disk
v,4,0.630126953125,disk
v,5,0.603515625,disk
v,6,0.63037109375,disk
v,2,0.557861328125,disk
v,3,0.406005859375,disk
v,4,0.651611328125,disk
v,5,0.42431640625,disk
v,6,0.370849609375,disk
v,2,0.345458984375,disk
v,3,0.096435546875,disk
v,4,0.227783203125,disk
v,5,0.2421875,disk
v,6,0.17431640625,disk
v,2,0.72314453125,disk
v,3,0.763671875,disk
v,4,0.711181640625,disk
v,5,0.46923828125,disk
v,6,0.551513671875,disk
v,2,0.515380859375,disk
v,3,0.416748046875,disk
v,4,0.5859375,disk
v,5,0.44482421875,disk
v,6,0.538818359375,disk
v,2,0.54931640625,disk
v,3,0.526611328125,disk
v,4,0.57275390625,disk
v,5,0.412841796875,disk
v,6,0.389892578125,disk
v,2,0.47021484375,disk
v,3,0.41064453125,disk
v,4,0.375732421875,disk
v,5,0.320556640625,disk
v,6,0.298583984375,disk
v,2,0.35400390625,disk
v,3,0.354248046875,disk
v,4,0.48193359375,disk
v,5,0.599609375,disk
v,6,0.459716796875,disk
v,2,0.57177734375,disk
v,3,0.421630859375,disk
v,4,0.56591796875,disk
v,5,0.416748046875,disk
v,6,0.34130859375,disk
v,2,0.60205078125,disk
v,3,0.44482421875,disk
v,4,0.3349609375,disk
v,5,0.2978515625,disk
v,6,0.3984375,disk
v,2,0.748779296875,disk
v,3,0.717041015625,disk
v,4,0.642822265625,disk
v,5,0.547607421875,disk
v,6,0.43115234375,disk
v,2,0.59033203125,disk
v,3,0.469482421875,disk
v,4,0.4765625,disk
v,5,0.5205078125,disk
v,6,0.57958984375,disk
v,2,0.551025390625,disk
v,3,0.634521484375,disk
v,4,0.427490234375,disk
v,5,0.370849609375,disk
v,6,0.304931640625,disk
v,2,0.6669921875,disk
v,3,0.58544921875,disk
v,4,0.703369140625,disk
v,5,0.47607421875,disk
v,6,0.552978515625,disk
v,2,0.565673828125,disk
v,3,0.25830078125,disk
v,4,0.289794921875,disk
v,5,0.198486328125,disk
v,6,0.185546875,disk
v,2,0.53955078125,disk
v,3,0.468017578125,disk
v,4,0.530029296875,disk
v,5,0.703369140625,disk
v,6,0.4921875,disk
v,2,0.742919921875,disk
v,3,0.595458984375,disk
v,4,0.492919921875,disk
v,5,0.66943359375,disk
v,6,0.607666015625,disk
v,2,0.305908203125,disk
v,3,0.349853515625,disk
v,4,0.438232421875,disk
v,5,0.216796875,disk
v,6,0.291748046875,disk
v,2,0.5009765625,disk
v,3,0.44384765625,disk
v,4,0.209716796875,disk
v,5,0.11572265625,disk
v,6,0.052001953125,disk
v,2,0.773681640625,disk
v,3,0.609130859375,disk
v,4,0.6748046875,disk
v,5,0.48681640625,disk
v,6,0.432861328125,disk
v,2,0.624267578125,disk
v,3,0.53759765625,disk
v,4,0.427734375,disk
v,5,0.5283203125,disk
v,6,0.329833984375,disk
v,2,0.6240234375,disk
v,3,0.627197265625,disk
v,4,0.383056640625,disk
v,5,0.547607421875,disk
v,6,0.32373046875,disk
v,2,0.615478515625,disk
v,3,0.354248046875,disk
v,4,0.264404296875,disk
v,5,0.208984375,disk
v,6,0.149658203125,disk
v,2,0.53564453125,disk
v,3,0.58154296875,disk
v,4,0.485107421875,disk
v,5,0.487548828125,disk
v,6,0.41552734375,disk
v,2,0.6484375,disk
v,3,0.516357421875,disk
v,4,0.54052734375,disk
v,5,0.505615234375,disk
v,6,0.42138671875,disk
v,2,0.53759765625,disk
v,3,0.357666015625,disk
v,4,0.6064453125,disk
v,5,0.357421875,disk
v,6,0.496826171875,disk
v,2,0.569091796875,disk
v,3,0.450439453125,disk
v,4,0.367431640625,disk
v,5,0.231201171875,disk
v,6,0.1357421875,disk
